Name,Review,Date,Star Rating
Hazal Y [Upgrade to see in full],Good Ja [Upgrade to see in full],7/13/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Chad Y.,I've be [Upgrade to see in full],11/13/2 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Frank T [Upgrade to see in full],Average [Upgrade to see in full],8/30/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Wendy H [Upgrade to see in full],I still [Upgrade to see in full],8/24/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Angela  [Upgrade to see in full],Great c [Upgrade to see in full],5/2/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Mardory [Upgrade to see in full],I was e [Upgrade to see in full],8/28/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Giacomo [Upgrade to see in full],This we [Upgrade to see in full],2/27/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Rudy M.,Talk ab [Upgrade to see in full],3/6/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Joe G.,The Con [Upgrade to see in full],7/27/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Nick C.,The foo [Upgrade to see in full],3/14/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Chris G [Upgrade to see in full],This wa [Upgrade to see in full],5/9/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Amanda  [Upgrade to see in full],I enjoy [Upgrade to see in full],3/7/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Darian  [Upgrade to see in full],This wa [Upgrade to see in full],6/27/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Thomas  [Upgrade to see in full],Delicio [Upgrade to see in full],4/9/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Yikai L [Upgrade to see in full],Food wa [Upgrade to see in full],10/8/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Alice Z [Upgrade to see in full],I order [Upgrade to see in full],3/22/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Cj C.,Great c [Upgrade to see in full],5/27/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Leo L.,The cur [Upgrade to see in full],7/5/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Usti H.,I was l [Upgrade to see in full],3/2/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Wendy D [Upgrade to see in full],The goo [Upgrade to see in full],1/31/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Joshua  [Upgrade to see in full],Same as [Upgrade to see in full],2/18/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Rosemar [Upgrade to see in full],This pl [Upgrade to see in full],11/2/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Natalie [Upgrade to see in full],Good qu [Upgrade to see in full],2/11/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Amanda  [Upgrade to see in full],Very cl [Upgrade to see in full],2/18/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Umar T.,Go! Go! [Upgrade to see in full],10/7/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
E P.,Awesome [Upgrade to see in full],8/13/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
junho k [Upgrade to see in full],Went ba [Upgrade to see in full],4/20/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Leila L [Upgrade to see in full],This is [Upgrade to see in full],3/14/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Jerry C [Upgrade to see in full],I order [Upgrade to see in full],3/18/20 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Sojung  [Upgrade to see in full],I love  [Upgrade to see in full],10/15/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Grace S [Upgrade to see in full],I've be [Upgrade to see in full],9/17/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Miranda [Upgrade to see in full],I order [Upgrade to see in full],8/25/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
Edjanin [Upgrade to see in full],Im givi [Upgrade to see in full],10/15/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Moso H.,This is [Upgrade to see in full],3/15/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Traci B [Upgrade to see in full],One of  [Upgrade to see in full],8/31/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Mohnish [Upgrade to see in full],Great f [Upgrade to see in full],3/14/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Darren  [Upgrade to see in full],Cheap c [Upgrade to see in full],8/14/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Sasha K [Upgrade to see in full],This wa [Upgrade to see in full],8/7/201 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Kevin W [Upgrade to see in full],Just or [Upgrade to see in full],2/14/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Lawrenc [Upgrade to see in full],Good fo [Upgrade to see in full],5/21/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]
William [Upgrade to see in full],Amazing [Upgrade to see in full],1/27/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Ruiqi L [Upgrade to see in full],Curry h [Upgrade to see in full],11/6/20 [Upgrade to see in full],2.0 sta [Upgrade to see in full]
Marqus  [Upgrade to see in full],This pl [Upgrade to see in full],11/4/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Fahim H [Upgrade to see in full],Food wa [Upgrade to see in full],12/28/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Bhaviks [Upgrade to see in full],I remem [Upgrade to see in full],12/5/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
Scott J [Upgrade to see in full],Fresh i [Upgrade to see in full],8/6/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Yue L.,Gogo cu [Upgrade to see in full],10/20/2 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Julia F [Upgrade to see in full],I'll ne [Upgrade to see in full],11/27/2 [Upgrade to see in full],1.0 sta [Upgrade to see in full]
Sarah S [Upgrade to see in full],I like  [Upgrade to see in full],9/4/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Patrick [Upgrade to see in full],Food is [Upgrade to see in full],10/1/20 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Will M.,Really  [Upgrade to see in full],8/7/201 [Upgrade to see in full],4.0 sta [Upgrade to see in full]
Shiyang [Upgrade to see in full],This pl [Upgrade to see in full],8/18/20 [Upgrade to see in full],5.0 sta [Upgrade to see in full]
M C.,Their f [Upgrade to see in full],12/9/20 [Upgrade to see in full],3.0 sta [Upgrade to see in full]